Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
4 jan. 2022,8.196,10.777,901,1.913,9.016,Smartmeter
3 jan. 2022,8.195,10.768,901,1.913,9.010,Smartmeter
2 jan. 2022,8.185,10.768,901,1.913,9.005,Smartmeter
1 jan. 2022,8.173,10.768,901,1.913,9.003,Smartmeter
31 dec. 2021,8.171,10.746,901,1.913,9.002,Smartmeter
30 dec. 2021,8.169,10.723,901,1.913,8.997,Smartmeter
29 dec. 2021,8.168,10.707,901,1.913,8.994,Smartmeter
28 dec. 2021,8.165,10.678,901,1.913,8.988,Smartmeter
27 dec. 2021,8.163,10.646,901,1.913,8.982,Smartmeter
26 dec. 2021,8.124,10.646,901,1.913,8.977,Smartmeter
25 dec. 2021,8.092,10.646,901,1.913,8.972,Smartmeter
24 dec. 2021,8.089,10.620,901,1.913,8.967,Smartmeter
23 dec. 2021,8.086,10.585,901,1.913,8.962,Smartmeter
22 dec. 2021,8.083,10.555,901,1.913,8.957,Smartmeter
21 dec. 2021,8.081,10.521,901,1.913,8.953,Smartmeter
20 dec. 2021,8.080,10.505,901,1.913,8.948,Smartmeter
19 dec. 2021,8.071,10.505,901,1.913,8.942,Smartmeter
18 dec. 2021,8.064,10.505,901,1.913,8.937,Smartmeter
17 dec. 2021,8.063,10.499,901,1.913,8.933,Smartmeter
16 dec. 2021,8.063,10.493,901,1.913,8.928,Smartmeter
15 dec. 2021,8.062,10.485,901,1.913,8.925,Smartmeter
14 dec. 2021,8.061,10.479,901,1.913,8.919,Smartmeter
13 dec. 2021,8.060,10.470,901,1.913,8.915,Smartmeter
12 dec. 2021,8.050,10.470,901,1.913,8.909,Smartmeter
11 dec. 2021,8.038,10.470,901,1.913,8.899,Smartmeter
10 dec. 2021,8.037,10.464,901,1.913,8.891,Smartmeter
9 dec. 2021,8.037,10.459,901,1.913,8.883,Smartmeter
8 dec. 2021,8.036,10.451,901,1.913,8.874,Smartmeter
7 dec. 2021,8.035,10.447,901,1.913,8.867,Smartmeter
